Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,FertRate,MedAge,UrbanPop,WorldShare
Afghanistan,38928346,2.33,886592,60,652860,-62920,4.6,18,25,0.5
Armenia,2963243,0.19,5512,104,28470,-4998,1.8,35,63,0.04
Azerbaijan,10139177,0.91,91459,123,82658,1200,2.1,32,56,0.13
Bahrain,1701575,3.68,60403,2239,760,47800,2,32,89,0.02
Bangladesh,164689383,1.01,1643222,1265,130170,-369501,2.1,28,39,2.11
Bhutan,771608,1.12,8516,20,38117,320,2,28,46,0.01
Brunei,437479,0.97,4194,83,5270,0,1.8,32,80,0.01
Cambodia,16718965,1.41,232423,95,176520,-30000,2.5,26,24,0.21
China,1439323776,0.39,5540090,153,9388211,-348399,1.7,38,61,18.47
Cyprus,1207359,0.73,8784,131,9240,5000,1.3,37,67,0.02
Georgia,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58,0.05
Hong Kong,7496981,0.82,60827,7140,1050,29308,1.3,45,,0.1
India,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35,17.7
Indonesia,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56,3.51
Iran,83992949,1.3,1079043,52,1628550,-55000,2.2,32,76,1.08
Iraq,40222493,2.32,912710,93,434320,7834,3.7,21,73,0.52
Israel,8655535,1.6,136158,400,21640,10000,3,30,93,0.11
Japan,126476461,-0.3,-383840,347,364555,71560,1.4,48,92,1.62
Jordan,10203134,1,101440,115,88780,10220,2.8,24,91,0.13
Kazakhstan,18776707,1.21,225280,7,2699700,-18000,2.8,31,58,0.24
Kuwait,4270571,1.51,63488,240,17820,39520,2.1,37,,0.05
Kyrgyzstan,6524195,1.69,108345,34,191800,-4000,3,26,36,0.08
Laos,7275560,1.48,106105,32,230800,-14704,2.7,24,36,0.09
Lebanon,6825445,-0.44,-30268,667,10230,-30012,2.1,30,78,0.09
Macao,649335,1.39,8890,21645,30,5000,1.2,39,,0.01
Malaysia,32365999,1.3,416222,99,328550,50000,2,30,78,0.42
Maldives,540544,1.81,9591,1802,300,11370,1.9,30,35,0.01
Mongolia,3278290,1.65,53123,2,1553560,-852,2.9,28,67,0.04
Myanmar,54409800,0.67,364380,83,653290,-163313,2.2,29,31,0.7
Nepal,29136808,1.85,528098,203,143350,41710,1.9,25,21,0.37
North Korea,25778816,0.44,112655,214,120410,-5403,1.9,35,63,0.33
Oman,5106626,2.65,131640,16,309500,87400,2.9,31,87,0.07
Pakistan,220892340,2,4327022,287,770880,-233379,3.6,23,35,2.83
Philippines,109581078,1.35,1464463,368,298170,-67152,2.6,26,47,1.41
Qatar,2881053,1.73,48986,248,11610,40000,1.9,32,96,0.04
Saudi Arabia,34813871,1.59,545343,16,2149690,134979,2.3,32,84,0.45
Singapore,5850342,0.79,46005,8358,700,27028,1.2,42,,0.08
South Korea,51269185,0.09,43877,527,97230,11731,1.1,44,82,0.66
Sri Lanka,21413249,0.42,89516,341,62710,-97986,2.2,34,18,0.27
State of Palestine,5101414,2.41,119994,847,6020,-10563,3.7,21,80,0.07
Syria,17500658,2.52,430523,95,183630,-427391,2.8,26,60,0.22
Taiwan,23816775,0.18,42899,673,35410,30001,1.2,42,79,0.31
Tajikistan,9537645,2.32,216627,68,139960,-20000,3.6,22,27,0.12
Thailand,69799978,0.25,174396,137,510890,19444,1.5,40,51,0.9
Timor-Leste,1318445,1.96,25326,89,14870,-5385,4.1,21,33,0.02
Turkey,84339067,1.09,909452,110,769630,283922,2.1,32,76,1.08
Turkmenistan,6031200,1.5,89111,13,469930,-5000,2.8,27,53,0.08
United Arab Emirates,9890402,1.23,119873,118,83600,40000,1.4,33,86,0.13
Uzbekistan,33469203,1.48,487487,79,425400,-8863,2.4,28,50,0.43
Vietnam,97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25
Yemen,29825964,2.28,664042,56,527970,-30000,3.8,20,38,0.38
